date,Urban Population Growth,GDP Per Capita,Migration,decade
2023,-0.423241126054366,36779.0594913858,19833,2020
2022,-1.2944217353424,35268.0791015719,16704,2020
2021,-0.56474650852934,32619.250416757,-7410,2020
2020,2.71932748338036,31427.4291136799,-7410,2020
2019,0.00849952015032448,32916.866800639,10623,2010
2018,-4.05798859157931,31615.0667918433,10304,2010
2017,-2.43405340742061,31108.7527508912,-149999,2010
2016,-1.95848440829816,30627.1634017011,-41237,2010
2015,-1.7880390243471,29763.4883013861,-42912,2010
2014,-1.67048609741356,28981.4573305866,-41932,2010
2013,-1.18861464908686,28513.1657351067,-42641,2010
2012,-1.26011769056927,27944.7338937424,-41108,2010
2011,-1.21199320673227,27278.8830499205,-38545,2010
2010,-0.569042031446238,26435.74878578,-30960,2010
2009,-0.60715506445333,25768.7258883384,-18849,2000
2008,-0.647314085202659,24898.3345857045,-21734,2000
2007,-0.646252309966882,23664.8823485096,-24762,2000
2006,-0.482985004438138,22935.9411586313,-27499,2000
2005,-0.203720764774072,21959.322696986,-27139,2000
2004,-0.039007912220217,20988.9923326534,-26695,2000
2003,0.00529819033637695,19557.1202492358,-24947,2000
2002,0.0706231082346651,18731.4593897378,-25268,2000
2001,0.156908970557385,18123.1987019918,-24907,2000
2000,0.370913652828193,16192.1269719638,-19394,2000
1999,0.646079929839081,15220.9913420267,-4607,1990
1998,0.724660564284048,14304.4049868015,-4606,1990
1997,1.08258953972192,12817.6449621352,-8067,1990
1996,1.27856001493344,12173.163688986,-6559,1990
1995,1.08499380749645,11579.1849969985,-5930,1990
1994,1.09357929063143,10876.4188239898,-6385,1990
1993,1.01037409552337,10212.2767630564,-6207,1990
1992,0.818223017932615,9659.33889995916,-4198,1990
1991,0.883696092978518,9064.01851711486,-4857,1990
1990,2.00145645456832,8652.50749222505,-6865,1990
1989,2.5574886455785,8033.08944133042,-12434,1980
1988,2.8847363812197,7595.44465611829,-10611,1980
1987,3.250951223178,6980.49014338219,-11183,1980
1986,3.67371505849305,6455.18446107614,-11985,1980
1985,4.14886175898106,6008.05448623038,-8143,1980
1984,4.70076789554467,5730.11700890201,-6072,1980
1983,5.31215595037969,5217.72272856039,-7250,1980
1982,6.00984383098607,5115.00851423346,-7383,1980
1981,6.77526267058698,4920.72293674859,-7391,1980
1980,3.66260933210638,4502.8384279476,-5094,1980
1979,2.50236354217332,4024.50942019287,681,1970
1978,2.61643048095154,3567.7526290007,-3337,1970
1977,2.79689137579924,3208.77135614128,-3925,1970
1976,3.02317020853166,2946.46195251152,-2483,1970
1975,3.24607000934643,2738.24315297261,-731,1970
1974,3.51552001073908,2614.50094053038,-1495,1970
